Abbrv.	Lat	Long	Rating	Number_Of_Reviews
Fairfield_Inn_&_Suites_Mebane	-79.2976705	36.0674918	4.5                        	315
Econo_Lodge_Burlington_I-40	-79.4334226	36.0623031	2.6                        	784
Super_8_by_Wyndham_Burlington_NC	-79.49390369999999	36.0701565	3.6                        	256
Quality_Suites	-79.3834979	36.0612906	3.6                        	450
Best_Western_Plus_Burlington	-79.493146	36.070743	4.3                        	778
Courtyard_by_Marriott_Burlington	-79.50140340000002	36.0681056	4.1                        	421
Motel_6_Burlington_NC	-79.4327181	36.0649577	2.9                        	695
The_Acorn_Suites	-79.27700550000002	36.07618120000001	4.7                        	128
Holiday_Inn_Express_&_Suites_Mebane,_an_IHG_Hotel	-79.29499609999999	36.0675915	4.1                        	416
Affordable_Suites_Graham	-79.4037761	36.057509	4.5                        	61
Drury_Inn_&_Suites_Burlington	-79.5170753	36.0684876	4.6                        	871
Microtel_Inn_&_Suites_by_Wyndham_Burlington	-79.43525869999999	36.0631298	3.7                        	483
Knights_Inn_Motel	-79.43446229999999	36.063179	3.1                        	308
Red_Carpet_Inn_&_Suites	-79.432745	36.0648007	0.0                        	0
Holiday_Inn_Express_Burlington,_an_IHG_Hotel	-79.4983457	36.06554089999999	4.1                        	443
Country_Inn_&_Suites_by_Radisson,_Burlington_(Elon),_NC	-79.50232439999999	36.068022	4.6                        	507
Hampton_Inn_&_Suites_Burlington	-79.49716149999999	36.0651688	4.4                        	545
Days_Inn_by_Wyndham_Burlington_East	-79.3520949	36.0735243	3.5                        	387
Hampton_Inn_Mebane	-79.2982167	36.0672394	4.4                        	504
